"","ID","alterID","aRelationType","aAge","aGender","aOccupation","aFamilyStatus","aRelationLength","aStrongTieDiscuss","aStrongTieHelp","aF2f","aPhone","aEmail","aSNS","egoAlterDist_m"
"1","SR0000876",0,"Neighbor","35-39","Female","Full time","Divorced","1-5 years",0,0,"1-3 times/week","3-4 times/month","Never","4-7 times/week",421.266012553613
"2","SR0000876",1,"Neighbor","35-39","Male","Full time","Married with children","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",421.266012553613
"3","SR0000876",2,"Neighbor","30-34","Male","Full time","Single","1-5 years",0,0,"3-4 times/month","Never","Never","3-4 times/month",421.266012553613
"4","SR0000876",3,"Neighbor","20-24","Male","Part time","In a relationship","1-5 years",0,0,"3-4 times/month","Never","Never","1-2 times/month",795.824183736573
"5","SR0000876",4,"School friend","35-39","Male","Full time","Married with children","More than 10 years",0,0,"4-11 times/year","4-11 times/year","Never","1-2 times/month",25190.0765469835
"6","SR0000876",5,"School friend","35-39","Male","Full time","Single","More than 10 years",1,1,"4-11 times/year","4-11 times/year","Never","1-2 times/month",5724.49677912484
"7","SR0000876",6,"School friend","35-39","Female","Part time","Married, no children","More than 10 years",1,0,"4-11 times/year","4-11 times/year","Never","1-2 times/month",11818.538997785
"8","SR0000876",7,"School friend","35-39","Male","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","1-3 times/year","Never","4-11 times/year",784881.55232801
"9","SR0000876",8,"Other friend","25-29","Female","Full time","Single","5-10 years",0,0,"1-2 times/month","1-3 times/year","Never","1-3 times/week",7643.93382270544
"10","SR0000876",9,"Other friend","35-39","Male","Full time","Single","1-5 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",1065.55590028732
"11","SR0000876",10,"School friend","40-44","Male","Full time","Single","More than 10 years",1,0,"Never","1-3 times/year","Never","4-7 times/week",171940.61211709
"12","SR0000876",11,"School friend","30-34","Male","Full time","Single","More than 10 years",0,0,"Never","1-3 times/year","Never","Several times a day",365383.166368177
"13","SR0000876",12,"School friend","40-44","Male","Full time","Married with children","More than 10 years",0,0,"Never","1-3 times/year","4-11 times/year","1-3 times/week",347896.550576066
"14","SR0000876",13,"Other friend","35-39","Male","Part time","In a relationship","5-10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",6843.91262079701
"15","SR0000876",14,"Other friend","40-44","Male","Full time","Single","5-10 years",1,1,"1-3 times/year","Never","1-2 times/month","Never",8792932.05407518
"16","SR0000876",15,"Neighbor","35-39","Male","Freelance","Married with children","5-10 years",0,0,"4-11 times/year","Never","4-11 times/year","3-4 times/month",693.263881690667
"17","SR0000876",16,"Other friend","35-39","Male","Freelance","Single","5-10 years",0,0,"1-3 times/year","Never","Never","4-11 times/year",4128.41065866406
"18","SR0000876",17,"Other friend","40-44","Male","Freelance","Single","5-10 years",1,1,"1-3 times/year","Never","Never","1-3 times/year",11818.538997785
"19","SR0000876",18,"Other friend","35-39","Male","Full time","Married with children","More than 10 years",1,0,"1-3 times/year","1-3 times/year","Never","1-2 times/month",2582.94850048391
"20","SR0000876",19,"School friend","35-39","Male","Full time","Married, no children","More than 10 years",0,0,"1-3 times/year","Never","Never","1-3 times/year",357115.389802721
"21","SR0000876",20,"Other friend","30-34","Female","Freelance","Married, no children","5-10 years",1,0,"1-2 times/month","1-3 times/year","Never","1-3 times/year",7585.10361647994
"22","SR0000876",21,"Grandparent","over 65","Female","Unemployed/retired","Widowed","More than 10 years",0,0,"1-3 times/year","3-4 times/month","1-3 times/week","Never",784881.55232801
"23","SR0030748",0,"Work friend","30-34","Female","Full time","Married with children","More than 10 years",0,0,"1-2 times/month","4-11 times/year","Never","Several times a day",48430.3693634257
"24","SR0030748",1,"Work friend","30-34","Female","Full time","Single","More than 10 years",1,1,"1-2 times/month","4-11 times/year","Never","4-7 times/week",48430.3693634257
"25","SR0030748",2,"Work friend","30-34","Female","Full time","Single","More than 10 years",1,1,"3-4 times/month","Never","Never","3-4 times/month",8657.71600621179
"26","SR0030748",3,"School friend","30-34","Female","Full time","In a relationship","More than 10 years",1,1,"3-4 times/month","Never","Never","1-3 times/week",8657.71600621179
"27","SR0030748",4,"School friend","30-34","Female","Full time","Married with children","More than 10 years",1,1,"3-4 times/month","1-3 times/year","Never","1-3 times/week",8657.71600621179
"28","SR0030748",5,"School friend","30-34","Male","Full time","Married, no children","More than 10 years",0,0,"1-2 times/month","Never","Never","1-3 times/week",8657.71600621179
"29","SR0030748",6,"School friend","30-34","Male","Full time","Single","More than 10 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",8657.71600621179
"30","SR0030748",7,"School friend","35-39","Male","Full time","In a relationship","More than 10 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",8657.71600621179
"31","SR0030748",8,"School friend","30-34","Male","Full time","Single","More than 10 years",1,1,"1-2 times/month","Never","Never","4-11 times/year",8657.71600621179
"32","SR0030748",9,"Work friend","30-34","Male","Full time","Single","More than 10 years",1,1,"1-2 times/month","Never","Never","3-4 times/month",139531.38150757
"33","SR0030748",10,"School friend","30-34","Female","Full time","In a relationship","More than 10 years",1,0,"1-2 times/month","Never","Never","3-4 times/month",8657.71600621179
"34","SR0030748",11,"School friend","30-34","Male","Full time","Divorced","More than 10 years",1,0,"4-11 times/year","Never","Never","3-4 times/month",8657.71600621179
"35","SR0030748",12,"Work friend","30-34","Male","Full time","Single","More than 10 years",0,0,"4-11 times/year","Never","Never","4-11 times/year",8657.71600621179
"36","SR0030748",13,"Work friend","25-29","Female","Full time","Single","5-10 years",1,1,"4-11 times/year","Never","Never","4-11 times/year",41429.8323113169
"37","SR0030748",14,"Sibling","35-39","Female","Part time","Married with children","More than 10 years",1,0,"3-4 times/month","3-4 times/month","Never","4-7 times/week",41429.8323113169
"38","SR0030748",15,"Sibling","30-34","Female","Part time","Married with children","5-10 years",1,1,"4-11 times/year","Never","Never","1-2 times/month",41429.8323113169
"39","SR0030748",16,"Spouse/partner","30-34","Male","Full time","Married, no children","5-10 years",1,0,"Several times a day","3-4 times/month","Never","Several times a day",0
"40","SR0030748",17,"Work friend","35-39","Female","Full time","Single","5-10 years",1,0,"1-2 times/month","Never","Never","1-3 times/week",8657.71600621179
"41","SR0030748",19,"Work friend","50-54","Male","Full time","Married with children","1-5 years",0,0,"1-2 times/month","Never","Never","3-4 times/month",8657.71600621179
"42","SR0030748",20,"Work friend","25-29","Female","Full time","In a relationship","1-5 years",1,0,"3-4 times/month","1-2 times/month","Never","3-4 times/month",8657.71600621179
"43","SR0030748",21,"School friend","30-34","Male","Full time","In a relationship","More than 10 years",1,1,"1-2 times/month","Never","Never","1-3 times/week",8657.71600621179
"44","SR0030748",22,"Parent","over 65","Female","Home maker","Married with children","More than 10 years",0,0,"3-4 times/month","1-2 times/month","Never","4-7 times/week",41429.8323113169
"45","SR0150484",1,"Child","20-24","Male","Student","Single","More than 10 years",1,1,"Several times a day","Several times a day","Several times a day","Several times a day",0
"46","SR0150484",2,"Child","60-64","Male","Unemployed/retired","Married with children","More than 10 years",1,1,"Several times a day","Several times a day","Several times a day","Several times a day",2668.71350665673
"47","SR0150484",4,"Grandchild","40-44","Male","Full time","Married with children","1-5 years",0,0,"1-2 times/month","1-2 times/month","1-2 times/month","1-2 times/month",25398.2706658258
"48","SR0290372",0,"Parent","over 65","Female","Home maker","Married with children","More than 10 years",1,1,"4-11 times/year","1-3 times/year","3-4 times/month","3-4 times/month",8575.20455004662
"49","SR0290372",1,"Parent","over 65","Male","Full time","Married with children","More than 10 years",1,1,"4-11 times/year","1-3 times/year","1-2 times/month","Never",8575.20455004662
"50","SR0290372",2,"Sibling","30-34","Female","Full time","Married with children","More than 10 years",1,1,"4-11 times/year","1-3 times/year","1-2 times/month","1-2 times/month",8575.20455004662
"51","SR0290372",3,"In-law","30-34","Male","Full time","Married with children","5-10 years",1,1,"4-11 times/year","1-3 times/year","1-3 times/year","1-3 times/year",8575.20455004662
"52","SR0290372",4,"Spouse/partner","30-34","Male","Full time","Married, no children","1-5 years",0,0,"Several times a day","1-3 times/week","Several times a day","Several times a day",0
"53","SR0290372",5,"Other friend","30-34","Female","Home maker","Married with children","More than 10 years",0,0,"4-11 times/year","Never","1-2 times/month","1-2 times/month",10841.2341390503
"54","SR0290372",6,"Other friend","30-34","Female","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","Never","1-2 times/month","1-2 times/month",12911.0448080039
"55","SR0290372",7,"Other friend","30-34","Female","Full time","Married, no children","More than 10 years",0,0,"1-3 times/year","Never","1-2 times/month","1-2 times/month",23244.5565012452
"56","SR0290372",8,"Other friend","30-34","Female","Full time","Single","More than 10 years",0,0,"1-3 times/year","Never","4-11 times/year","4-11 times/year",18686.4791322537
"57","SR0290372",9,"Other friend","30-34","Female","Full time","In a relationship","5-10 years",0,0,"1-3 times/year","Never","4-11 times/year","4-11 times/year",12901.8905456321
"58","SR0290372",10,"Other relative","0-9","Male","Other","Single","1-5 years",0,0,"4-11 times/year","4-11 times/year","Never","Never",8575.20455004662
"59","SR0300104",0,"Parent","over 65","Female","Home maker","Married with children","More than 10 years",1,1,"Several times a day","Never","Never","1-3 times/week",0
"60","SR0300104",1,"Parent","over 65","Male","Unemployed/retired","Married with children","More than 10 years",1,1,"Several times a day","Never","Never","1-3 times/week",0
"61","SR0300104",2,"Sibling","50-54","Male","Full time","Married with children","More than 10 years",0,0,"4-7 times/week","Never","Never","1-3 times/week",0
"62","SR0300104",3,"In-law","60-64","Female","Home maker","Married with children","More than 10 years",0,0,"1-3 times/week","1-3 times/week","Never","1-3 times/week",8572.07811894663
"63","SR0300104",4,"School friend","45-49","Female","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","1-3 times/year","Never","Several times a day",19319.2162403919
"64","SR0300104",5,"School friend","45-49","Female","Part time","In a relationship","More than 10 years",0,0,"1-3 times/year","Never","Never","1-3 times/week",607.300417045212
"65","SR0300104",6,"Other friend","40-44","Female","Freelance","Married with children","More than 10 years",0,0,"1-2 times/month","Never","Never","1-3 times/week",19031.9337609926
"66","SR0300104",7,"Other friend","40-44","Female","Part time","Single","More than 10 years",0,0,"1-3 times/week","Never","Never","4-7 times/week",1404.99509407481
"67","SR0380688",0,"Spouse/partner","40-44","Male","Full time","Married with children","More than 10 years",0,1,"Several times a day","Several times a day","Several times a day","Several times a day",0
"68","SR0380688",1,"Child","15-19","Female","Student","Other","More than 10 years",0,0,"Several times a day","Several times a day","Several times a day","Several times a day",0
"69","SR0410749",0,"Other friend","35-39","Female","Home maker","Married with children","1-5 years",1,1,"1-2 times/month","Never","Never","Several times a day",3421.85047963824
"70","SR0410749",1,"School friend","40-44","Female","Home maker","Married with children","More than 10 years",1,1,"1-3 times/year","Never","Never","1-3 times/year",8291510.90985672
"71","SR0410749",2,"School friend","40-44","Female","Home maker","Married with children","More than 10 years",1,1,"1-3 times/year","Never","Never","1-2 times/month",4873.0485011487
"72","SR0410749",3,"Spouse/partner","35-39","Male","Full time","Married with children","More than 10 years",1,1,"Several times a day","Never","Never","Several times a day",0
"73","SR0410749",4,"Parent","over 65","Female","Home maker","Married with children","More than 10 years",0,0,"3-4 times/month","Never","Never","1-3 times/week",5316.52970579571
"74","SR0430295",0,"Other friend","55-59","Male","Full time","Married, no children","More than 10 years",0,0,"1-2 times/month","1-3 times/year","Never","1-2 times/month",7698.13751542429
"75","SR0430295",1,"Club/circle friend","60-64","Male","Full time","Married with children","1-5 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",6744.38031710252
"76","SR0430295",2,"Club/circle friend","25-29","Male","Full time","Single","1-5 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",1608.7911274199
"77","SR0430295",3,"Club/circle friend","20-24","Female","Full time","Single","1-5 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",21202.5030222012
"78","SR0430295",4,"Club/circle friend","40-44","Female","Full time","Single","1-5 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",1608.7911274199
"79","SR0430295",5,"Club/circle friend","25-29","Male","Full time","Single","1-5 years",0,0,"1-2 times/month","Never","Never","1-2 times/month",21202.5030222012
