"","ID","numberOfCliques","cliqueID","cliqueStructure","cliqueSize"
"1","SR0150484",1,0,"4",1
"2","SR1260452",3,0,"4,5",2
"3","SR1260452",3,1,"0,2,3",3
"4","SR1260452",3,2,"7",1
"5","SR1490867",4,0,"0",1
"6","SR1490867",4,1,"1,2,4,11,13,24",6
"7","SR1490867",4,2,"3,5,6,7,9,10,12,14,17,18,19,20,22,23,25",15
"8","SR1490867",4,3,"0,1,2,3,4,8,11,12,15,16,18,20,21",13
"9","SR3430509",1,0,"2,3,9,10,13,14,19",7
"10","SR3870093",1,0,"0,1,2",3
"11","SR5100531",2,0,"0,2,3",3
"12","SR5100531",2,1,"1,4",2
"13","SR6080024",2,0,"3,4",2
"14","SR6080024",2,1,"0,1,2,5,6",5
"15","SR6470649",1,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",19
"16","SR6810234",3,0,"0",1
"17","SR6810234",3,1,"1,2,5",3
"18","SR6810234",3,2,"3,4",2
"19","SR7100245",6,0,"8,9,11",3
"20","SR7100245",6,1,"6,7",2
"21","SR7100245",6,2,"3,4,5",3
"22","SR7100245",6,3,"2",1
"23","SR7100245",6,4,"1",1
"24","SR7100245",6,5,"10",1
"25","SR7230783",4,0,"0,1,2,3",4
"26","SR7230783",4,1,"4,5,6,7,8,9,10",7
"27","SR7230783",4,2,"11,12",2
"28","SR7230783",4,3,"13,14,15,16,17",5
"29","SR7260483",3,0,"0,1,2,3,8,9,10,11",8
"30","SR7260483",3,1,"4,5,6",3
"31","SR7260483",3,2,"7",1
"32","SR7280316",2,0,"0,2,3,4,5",5
"33","SR7280316",2,1,"1,3,4,6,7,12,13,14",8
"34","SR7320052",2,0,"0,1,2,3,4",5
"35","SR7320052",2,1,"5,6,7",3
"36","SR7340887",1,0,"0,1,2,3,4,5,6,7",8
"37","SR7460797",1,0,"0,1,2",3
"38","SR7490239",1,0,"0,1,2,3,4,6",6
"39","SR7540037",1,0,"0",1
"40","SR7740761",1,0,"1,4,6",3
"41","SR7770106",2,0,"0,1,2,5,6,7,9",7
"42","SR7770106",2,1,"2,3,8,11,13,14",6
"43","SR7790171",4,0,"0,4,5,6",4
"44","SR7790171",4,1,"1",1
