"","ID","IFClass","egoGender","egoAge","egoOccupation","egoFamilyStatus","edu","hhsize","hhMember_preschool","hhMember_elementary","hhMember_juniorHigh","hhMember_highSchool","hhMember_18to29","hhMember_30to49","hhMember_50to64","hhMember_over65","hhMember_other","drvlcs","hascar","hasbike","homeWorkDist_m","income","snNumFamily","snNumWorkSchool","snNumNeighbor","snNumClub","snNumOther","snSize","correctedSnSize","homeCity","IFCoef","alterID","aRelationType","aAge","aGender","aOccupation","aFamilyStatus","aRelationLength","aStrongTieDiscuss","aStrongTieHelp","aF2f","aPhone","aEmail","aSNS","egoAlterDist_m","egoeduc","egoAgeC","hhinc","egoWorker","couple","children","aAgeC","distance","altrole","emotcl","logFace","logTel","logMail","logSNS","logDist","homoGender","homoMM","homoFF","homoAgeC","homoAge","homoFamStatC","homoOccupC","contactType","Frequency"
"1","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,0,"Neighbor","35-39","Female","Full time","Divorced","1-5 years",0,0,"1-3 times/week","3-4 times/month","Never","4-7 times/week",421.266012553613,"technical","2","middle",1,"no","no","2",0.421266012553613,"friend","somewhat close",1.89209460269048,1.6232492903979,-0.301029995663981,2.45636603312904,-0.37544357803394,0,0,0,1,0,1,1,"Ff2f_m",78
"2","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,1,"Neighbor","35-39","Male","Full time","Married with children","1-5 years",0,0,"1-3 times/week","Never","Never","1-2 times/month",421.266012553613,"technical","2","middle",1,"no","no","2",0.421266012553613,"friend","somewhat close",1.89209460269048,-0.301029995663981,-0.301029995663981,1.25527250510331,-0.37544357803394,1,1,0,1,0,0,1,"Ff2f_m",78
"3","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,2,"Neighbor","30-34","Male","Full time","Single","1-5 years",0,0,"3-4 times/month","Never","Never","3-4 times/month",421.266012553613,"technical","2","middle",1,"no","no","2",0.421266012553613,"friend","somewhat close",1.6232492903979,-0.301029995663981,-0.301029995663981,1.6232492903979,-0.37544357803394,1,1,0,1,0,0,1,"Ff2f_m",42
"4","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,3,"Neighbor","20-24","Male","Part time","Single","1-5 years",0,0,"3-4 times/month","Never","Never","1-2 times/month",795.824183736573,"technical","2","middle",1,"no","no","1",0.795824183736573,"friend","somewhat close",1.6232492903979,-0.301029995663981,-0.301029995663981,1.25527250510331,-0.0991828675221743,1,1,0,0,0,0,0,"Ff2f_m",42
"5","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,4,"School friend","35-39","Male","Full time","Married with children","More than 10 years",0,0,"4-11 times/year","4-11 times/year","Never","1-2 times/month",25190.0765469835,"technical","2","middle",1,"no","no","2",25.1900765469835,"friend","somewhat close",0.8750612633917,0.8750612633917,-0.301029995663981,1.25527250510331,1.40122948722348,1,1,0,1,0,0,1,"Ff2f_m",7.5
"6","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,5,"School friend","35-39","Male","Full time","Single","More than 10 years",1,1,"4-11 times/year","4-11 times/year","Never","1-2 times/month",6022.78064513852,"technical","2","middle",1,"no","no","2",6.02278064513852,"friend","very close",0.8750612633917,0.8750612633917,-0.301029995663981,1.25527250510331,0.779797046079312,1,1,0,1,0,0,1,"Ff2f_m",7.5
"7","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,6,"School friend","35-39","Female","Part time","Married, no children","More than 10 years",1,0,"4-11 times/year","4-11 times/year","Never","1-2 times/month",11818.538997785,"technical","2","middle",1,"no","no","2",11.818538997785,"friend","very close",0.8750612633917,0.8750612633917,-0.301029995663981,1.25527250510331,1.07256379258441,0,0,0,1,0,0,0,"Ff2f_m",7.5
"8","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,7,"School friend","35-39","Male","Full time","Married with children","More than 10 years",0,0,"1-3 times/year","1-3 times/year","Never","4-11 times/year",784881.531565692,"technical","2","middle",1,"no","no","2",784.881531565692,"friend","somewhat close",0.301029995663981,0.301029995663981,-0.301029995663981,0.8750612633917,2.89480411015927,1,1,0,1,0,0,1,"Ff2f_m",2
"9","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,8,"Other friend","25-29","Female","Full time","Single","5-10 years",0,0,"1-2 times/month","1-3 times/year","Never","1-3 times/week",7643.95544700008,"technical","2","middle",1,"no","no","1",7.64395544700008,"friend","somewhat close",1.25527250510331,0.301029995663981,-0.301029995663981,1.89209460269048,0.883318147093283,0,0,0,0,0,0,1,"Ff2f_m",18
"10","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,9,"Other friend","35-39","Male","Full time","Single","1-5 years",1,0,"1-3 times/year","Never","Never","4-11 times/year",1065.55590028732,"technical","2","middle",1,"no","no","2",1.06555590028732,"friend","very close",0.301029995663981,-0.301029995663981,-0.301029995663981,0.8750612633917,0.0275762382355854,1,1,0,1,0,0,1,"Ff2f_m",2
"11","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,10,"School friend","40-44","Male","Full time","Single","More than 10 years",1,0,"Never","1-3 times/year","Never","4-7 times/week",168437.794220244,"technical","2","middle",1,"no","no","3",168.437794220244,"friend","very close",-0.301029995663981,0.301029995663981,-0.301029995663981,2.45636603312904,2.22643954547532,1,1,0,0,0,0,1,"Ff2f_m",0.5
"12","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,11,"School friend","30-34","Male","Full time","Single","More than 10 years",0,0,"Never","1-3 times/year","Never","Several times a day",365383.166368177,"technical","2","middle",1,"no","no","2",365.383166368177,"friend","somewhat close",-0.301029995663981,0.301029995663981,-0.301029995663981,2.56229286445647,2.56274853502031,1,1,0,1,0,0,1,"Ff2f_m",0.5
"13","SR0000876",14,"Male","30-34","Full time","Divorced","Vocational school",2,"No","No","No","No","No","No","No","Yes","No","Yes","No","Has own bike",NA,"6-7 million",2,1,22,0,35,22,22,"Shinagawa",139305.7188,12,"School friend","40-44","Male","Full time","Married with children","More than 10 years",0,0,"Never","1-3 times/year","4-11 times/year","1-3 times/week",347896.550576066,"technical","2","middle",1,"no","no","3",347.896550576066,"friend","somewhat close",-0.301029995663981,0.301029995663981,0.8750612633917,1.89209460269048,2.54145012270215,1,1,0,0,0,0,1,"Ff2f_m",0.5
